,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
23400,3307877008,2458907334,Finchley,KhanUKIP,1003.0
964,21810329,3326733263,France,dstrausskahn,761.0
1054,2520237692,2364495792,,StockHighAlert,664.0
15462,373035299,403647191,UK,Ian56789,560.0
13186,2996524397,3326733263,France,dstrausskahn,498.0
14986,1052934420,755252174,Brussels,BirdLifeEurope,356.0
25468,32468117,73760208,Berlin/Bxl/Lndn/Paris/Oslo/NYC,SonyKapoor,335.0
12828,43987544,3233835926,Antigua and Barbuda,jodigraphics15,322.0
18274,510783391,306932184,Barcelona,15MBcn_int,303.0
26586,369987966,410070653,"Brussels, Belgium",SpiegelPeter,300.0
1986,103968207,3326733263,France,dstrausskahn,288.0
2864,3243616719,22657914,London UK,patcondell,286.0
26708,2155001304,35760904,Shrewsbury & London,SuzanneEvans1,258.0
25200,912762500,512790682,Loughborough,TheoStylianides,251.0
2848,3018422494,3271037696,,hrseo2015,221.0
14822,582076945,19287037,Europe,TheProgressives,206.0
7778,339639180,610659001,Oxford,MaxCRoser,190.0
17762,47025294,22657914,London UK,patcondell,188.0
3324,252804421,2582427774,,NewsCoverUp,183.0
26488,2212478964,45086371,"Earth,MilkyWay,VirgoCluster",menacius,172.0
9062,314707172,35760904,Shrewsbury & London,SuzanneEvans1,170.0
20596,159285637,247176719,10km from amsterdam,paulrikmans,163.0
20856,916751322,48987943,"Dublin, Ireland ",MarcasPadraig,156.0
9228,2344694171,143001237,Buggenhout (Flanders),StevenCreyelman,147.0
25876,3263446373,35760904,Shrewsbury & London,SuzanneEvans1,140.0
10280,1439195672,410070653,"Brussels, Belgium",SpiegelPeter,138.0
6556,2414871902,2315411725,"Europe, Earth, Solar System",BungeeWedgie,133.0
11588,2852652593,410070653,"Brussels, Belgium",SpiegelPeter,131.0
22198,483260824,77528520,Athens 路 Berlin 路 Brussels,YanniKouts,129.0
3054,86830095,1073802444,"Tehran, Iran, Paris, France",iran_policy,128.0
24462,2179008832,518615888,London and Dublin,RonanLTynan,126.0
7048,1656545580,220671535,London,BetterOffOut,125.0
10020,744702390,307084646,London,Eva_Cosse,122.0
7356,299713309,162427574,"Brussels, Europe",StollmeyerEU,120.0
25852,128541148,49157283,Southern California,buell003,116.0
2340,2508971117,555370896,England,RedHotSquirrel,114.0
62,36355186,5120691,"Geneva, Switzerland",wef,113.0
3812,3018422494,3271037696,,hrseo2015,112.0
1856,197370355,3271037696,,hrseo2015,111.0
2460,363199891,5120691,"Geneva, Switzerland",wef,108.0
7024,2564482480,2269619268,Greater NYC,DavidRomeiPHD,105.0
17426,2970400353,518615888,London and Dublin,RonanLTynan,103.0
14868,19014535,410070653,"Brussels, Belgium",SpiegelPeter,100.0
12086,2982700757,344778430,"London, UK",PlanetPonzi,99.0
18360,187688769,1056632712,"New Jersey, USA",VictoriaSC91,98.0
22666,570917819,32429400,"Brussels, global",PoliticoRyan,97.0
9916,24488120,307084646,London,Eva_Cosse,93.0
17272,2900803095,19060580,Athen ,DEmmerich,91.0
11324,501120509,157981564,"Brussels, Belgium",EU_Commission,89.0
11110,2306582551,80803819,HQ: Brussels,eu_eeas,87.0
14460,714695354,2831262553,,Greg_5mith,86.0
1108,463406177,327326028,,sandukankanack,85.0
21712,400070495,140500047,"Huddersfield, England ",tom9182,84.0
17420,150386208,555370896,England,RedHotSquirrel,81.0
3818,142744710,80802900,Brighton,CarolineLucas,80.0
11644,844298942,555370896,England,RedHotSquirrel,76.0
7234,732727645,35760904,Shrewsbury & London,SuzanneEvans1,75.0
12256,96977991,518991950,"London, UK",ShoebridgeC,71.0
4478,1899486349,820190174,Brussels ,MargSchinas,70.0
26660,2395373148,81867344,"Washington, DC",hmylonas,69.0
24838,252402252,3263446373,"South East, UK",Rich_A_S,68.0
5330,20822796,22759754,,SJLambrinidis,67.0
17912,18446493,518615888,London and Dublin,RonanLTynan,65.0
2506,373157754,3163284887,Mediterranean Sea,MSF_Sea,64.0
1562,722127506,52268679,United Kingdom,TheDailyBMUK,63.0
19366,2270146225,555370896,England,RedHotSquirrel,61.0
24322,575252168,17543967,,mindstripper,60.0
10976,1970996414,1873534105,,ZlatkoStipic,58.0
7750,1511491182,77528520,Athens 路 Berlin 路 Brussels,YanniKouts,57.0
7556,425624046,71858239,"Longford, Ireland",Disildoforus,56.0
9398,157981564,28114871,"Brussels, Belgium",ecfin,55.0
422,220580561,1880640066,,TGSNTtv,54.0
648,41625149,306932184,Barcelona,15MBcn_int,53.0
13330,2603267395,518615888,London and Dublin,RonanLTynan,52.0
22478,303661335,17131762,Hamburg/Brussels,JanAlbrecht,51.0
24632,1946971338,381214787,"Toronto, Ontario",gbazov,50.0
8256,1523304198,81838067,Brussels and Strasbourg,ecrgroup,48.0
13976,59393368,410070653,"Brussels, Belgium",SpiegelPeter,47.0
17172,272840338,555370896,England,RedHotSquirrel,46.0
9650,2267313560,1920396234,,Jay_Janzen,45.0
6576,138698159,2215324790,Somewhere in Greece,DOC_PROVOCATEUR,43.0
14578,838100912,410070653,"Brussels, Belgium",SpiegelPeter,42.0
8398,17127246,815294671,,Fmirw,41.0
5100,9692232,856010760,Europe ,GuyVerhofstadt,40.0
16246,2385475135,771223836,,RKacinskas,39.0
22620,1003681236,555370896,England,RedHotSquirrel,38.0
19766,589121855,555370896,England,RedHotSquirrel,37.0
15460,81607832,518615888,London and Dublin,RonanLTynan,36.0
6214,471061786,2384903353,Worldwide,WFPGovts,35.0
7300,833504414,2830668431,Middleton,LeeSeville_UKIP,34.0
2852,603109083,607946179,"Brussels, Belgium",LotteLeicht1,33.0
10880,200838452,376920145,,KooyJan,32.0
13690,2814231679,34503746,Washington D.C.,SoccerMouaz,31.0
10898,867966408,522250263,"London Town, UK",SkintLondon,30.0
17648,141563430,3186561623,Greece ,Refugees_Gr,29.0
4008,287421314,110396781,,ajplus,28.0
1656,835779326,5120691,"Geneva, Switzerland",wef,27.0
2642,383906888,367999975,Kent & London,Charlton_UKIP,26.0
10326,548870836,73760208,Berlin/Bxl/Lndn/Paris/Oslo/NYC,SonyKapoor,25.0
9548,83711992,1653808938,UKIP Candidate Argyll & Bute ,Casumptious,24.0
10530,250841678,32429400,"Brussels, global",PoliticoRyan,23.0
11732,24656159,500927893," Rue Montoyer 24, Bruxelles",EuropecheOrg,22.0
2,3097951626,2214003641,,PriscillaLakerv,21.0
3264,3191320373,1880640066,,TGSNTtv,20.0
8518,131470103,202610289,"North West, UK",akhanmep,19.0
12770,82589538,1580771017,,RuthLeaEcon,18.0
2398,1109862306,1928492846,OUT OF THE EU ?????????????,gavtheukip,17.0
7132,2730675995,59490293,London,Global_Witness,16.0
3438,431414814,518615888,London and Dublin,RonanLTynan,15.0
15854,2154567022,726372601,South West,MollyMEP,14.0
3894,3232787439,1900708207,,ReutersGMF,13.0
9076,847319797,1113932371,Rome,TheLocalItaly,12.0
5850,2352436693,31080136,"Kyiv, Ukraine",Ukroblogger,11.0
9546,2199977731,575269517,Brussels,V_Andriukaitis,10.0
22374,1960302488,120540361,The Hague,TonyAgotha,9.0
26950,361768686,209243408,"Dublin, Ireland",LegalEagleStar,8.0
6762,79621799,863527548,Baltimore & Paris,steve_hanke,7.0
13078,475697665,166284293,,JournalNEO,6.0
416,3343085158,367999975,Kent & London,Charlton_UKIP,5.0
12684,2292499856,1725035185,"Brussels, Belgium",eInfraEU,4.0
26316,34033504,50783672,"Lisbon, Portugal",NewsNavigator,3.0
2910,2827068349,226694331,RTs not endorsements blah blah,GrinBins,2.0
1204,974480149,2473118046,USA,LawLawyerNews,1.0
